2022-03-16 13:04:23,322 INFO     client_log_config.py Просто информация
2022-03-16 13:04:23,322 DEBUG    client_log_config.py Отладочная информация
2022-03-16 13:04:23,322 ERROR    client_log_config.py Сообщение об ощибке
2022-03-16 13:04:23,322 CRITICAL client_log_config.py Критическая ошибка
2022-03-16 13:05:21,928 DEBUG    client.py Создан объект parser
2022-03-16 13:05:21,928 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-16 13:05:22,944 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2022-03-16 13:06:13,625 DEBUG    client.py Создан объект parser
2022-03-16 13:06:13,625 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-16 13:06:13,625 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-16 13:06:13,641 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647425173.6259196, 'user': {'account_name': 'Guest'}} на server
2022-03-16 13:06:13,641 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-16 13:06:13,641 INFO     client.py Принят ответ от server 200 : OK
2022-03-16 13:08:52,487 DEBUG    client.py Создан объект parser
2022-03-16 13:08:52,487 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.1.9, порт: 8880
2022-03-16 13:08:53,501 CRITICAL client.py Не удалось подключиться к серверу 127.0.1.9:8880, конечный компьютер отверг запрос на подключение.
2022-03-16 13:09:27,809 DEBUG    client.py Создан объект parser
2022-03-16 13:09:27,809 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 8880
2022-03-16 13:09:28,840 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:8880, конечный компьютер отверг запрос на подключение.
2022-03-16 13:09:39,532 DEBUG    client.py Создан объект parser
2022-03-16 13:09:39,532 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 8888
2022-03-16 13:09:40,563 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:8888, конечный компьютер отверг запрос на подключение.
2022-03-16 13:10:48,108 DEBUG    client.py Создан объект parser
2022-03-16 13:10:48,108 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 8888
2022-03-16 13:10:49,124 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:8888, конечный компьютер отверг запрос на подключение.
2022-03-16 13:11:18,204 DEBUG    client.py Создан объект parser
2022-03-16 13:11:18,204 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 8889
2022-03-16 13:11:19,237 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:8889, конечный компьютер отверг запрос на подключение.
2022-03-16 13:16:23,974 DEBUG    client.py Создан объект parser
2022-03-16 13:16:23,974 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-16 13:16:23,974 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-16 13:16:23,974 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647425783.9746182, 'user': {'account_name': 'Guest'}} на server
2022-03-16 13:16:23,974 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-16 13:16:23,974 INFO     client.py Принят ответ от server 200 : OK
2022-03-16 13:16:39,079 DEBUG    client.py Создан объект parser
2022-03-16 13:16:39,079 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.1.9, порт: 7777
2022-03-16 13:16:39,080 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-16 13:16:39,080 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647425799.0803618, 'user': {'account_name': 'Guest'}} на server
2022-03-16 13:16:39,080 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-16 13:16:39,080 INFO     client.py Принят ответ от server 200 : OK
2022-03-16 13:21:35,179 DEBUG    client.py Создан объект parser
2022-03-16 13:21:35,179 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.1.9, порт: 8888
2022-03-16 13:21:36,206 CRITICAL client.py Не удалось подключиться к серверу 127.0.1.9:8888, конечный компьютер отверг запрос на подключение.
2022-03-16 13:22:04,381 DEBUG    client.py Создан объект parser
2022-03-16 13:22:04,381 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 8888
2022-03-16 13:22:04,381 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-16 13:22:04,381 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647426124.3810117, 'user': {'account_name': 'Guest'}} на server
2022-03-16 13:22:04,381 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-16 13:22:04,381 INFO     client.py Принят ответ от server 200 : OK
2022-03-16 13:23:34,663 DEBUG    client.py Создан объект parser
2022-03-16 13:23:34,663 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-16 13:23:35,679 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2022-03-16 13:23:52,398 DEBUG    client.py Создан объект parser
2022-03-16 13:23:52,398 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-16 13:23:53,417 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2022-03-16 13:24:01,416 DEBUG    client.py Создан объект parser
2022-03-16 13:24:01,416 INFO     client.py Запущен client с параметрами: адрес сервера: 8888, порт: 7777
2022-03-16 13:24:20,284 DEBUG    client.py Создан объект parser
2022-03-16 13:24:20,284 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 8888
2022-03-16 13:24:20,284 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
