2022-03-23 13:38:01,334 DEBUG    client.py          Создан объект parser
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 INFO     client.py          Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-23 13:38:01,345 DEBUG    client.py          Сформировано presence сообщение для пользователя Guest
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <create_presence()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 DEBUG    client.py          Отправлено сообщение {'action': 'presence', 'time': 1648031881.3456197, 'user': {'account_name': 'Guest'}} на server
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 DEBUG    client.py          Разбор сообщения от сервера: {'response': 200}
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <process_server_answer()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 INFO     client.py          Принят ответ от server 200 : OK
2022-03-23 13:38:05,020 DEBUG    client.py          Создан объект parser
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 INFO     client.py          Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-23 13:38:05,036 DEBUG    client.py          Сформировано presence сообщение для пользователя Guest
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <create_presence()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 DEBUG    client.py          Отправлено сообщение {'action': 'presence', 'time': 1648031885.0364225, 'user': {'account_name': 'Guest'}} на server
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 DEBUG    client.py          Разбор сообщения от сервера: {'response': 200}
2022-03-23 13:38:05,052 DEBUG    decors_def.py      Была вызвана функция: <process_server_answer()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:05,052 INFO     client.py          Принят ответ от server 200 : OK
2022-03-23 13:49:57,820 DEBUG    client.py          Создан объект parser
2022-03-23 13:49:57,820 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:49:57,820 INFO     client.py          Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-23 13:49:57,820 DEBUG    client.py          Сформировано presence сообщение для пользователя Guest
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <create_presence()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 DEBUG    client.py          Отправлено сообщение {'action': 'presence', 'time': 1648032597.82021, 'user': {'account_name': 'Guest'}} на server
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 DEBUG    client.py          Разбор сообщения от сервера: {'response': 200}
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <process_server_answer()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 INFO     client.py          Принят ответ от server 200 : OK
2022-03-24 04:39:39,835 DEBUG    client.py          Создан объект parser
2022-03-24 04:39:39,983 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-24 04:39:39,984 INFO     client.py          Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-24 04:39:39,984 DEBUG    client.py          Сформировано presence сообщение для пользователя Guest
2022-03-24 04:39:39,985 DEBUG    decors_def.py      Была вызвана функция: <create_presence()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-24 04:39:39,987 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-24 04:39:39,988 DEBUG    client.py          Отправлено сообщение {'action': 'presence', 'time': 1648085979.9849997, 'user': {'account_name': 'Guest'}} на server
2022-03-24 04:39:39,991 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-24 04:39:39,991 DEBUG    client.py          Разбор сообщения от сервера: {'response': 200}
2022-03-24 04:39:39,992 DEBUG    decors_def.py      Была вызвана функция: <process_server_answer()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-24 04:39:39,992 INFO     client.py          Принят ответ от server 200 : OK
