2022-03-23 13:37:56,485 DEBUG    server.py          Создан объект parser
2022-03-23 13:37:56,500 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:37:56,500 INFO     server.py          Запущен server !Порт для подключений: 7777,Адрес с которого принимаются подключения: .Если адрес не указан, принимаются соединения с любых адресов.
2022-03-23 13:38:01,345 INFO     server.py          Установлено соединение с client ('127.0.0.1', 51941)
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 DEBUG    server.py          Получено сообщение от client {'action': 'presence', 'time': 1648031881.3456197, 'user': {'account_name': 'Guest'}}
2022-03-23 13:38:01,345 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648031881.3456197, 'user': {'account_name': 'Guest'}}
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 DEBUG    server.py          Сформирован ответ client {'response': 200}
2022-03-23 13:38:01,345 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:01,345 INFO     server.py          Отправлен ответ client {'response': 200}
2022-03-23 13:38:01,345 INFO     server.py          Соединение с клиентом ('127.0.0.1', 51941) закрыто.
2022-03-23 13:38:05,036 INFO     server.py          Установлено соединение с client ('127.0.0.1', 51944)
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 DEBUG    server.py          Получено сообщение от client {'action': 'presence', 'time': 1648031885.0364225, 'user': {'account_name': 'Guest'}}
2022-03-23 13:38:05,036 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648031885.0364225, 'user': {'account_name': 'Guest'}}
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 DEBUG    server.py          Сформирован ответ client {'response': 200}
2022-03-23 13:38:05,036 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:38:05,036 INFO     server.py          Отправлен ответ client {'response': 200}
2022-03-23 13:38:05,036 INFO     server.py          Соединение с клиентом ('127.0.0.1', 51944) закрыто.
2022-03-23 13:49:54,463 DEBUG    server.py          Создан объект parser
2022-03-23 13:49:54,463 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:49:54,463 INFO     server.py          Запущен server !Порт для подключений: 7777,Адрес с которого принимаются подключения: .Если адрес не указан, принимаются соединения с любых адресов.
2022-03-23 13:49:57,820 INFO     server.py          Установлено соединение с client ('127.0.0.1', 52046)
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 DEBUG    server.py          Получено сообщение от client {'action': 'presence', 'time': 1648032597.82021, 'user': {'account_name': 'Guest'}}
2022-03-23 13:49:57,835 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648032597.82021, 'user': {'account_name': 'Guest'}}
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 DEBUG    server.py          Сформирован ответ client {'response': 200}
2022-03-23 13:49:57,835 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-23 13:49:57,835 INFO     server.py          Отправлен ответ client {'response': 200}
2022-03-23 13:49:57,835 INFO     server.py          Соединение с клиентом ('127.0.0.1', 52046) закрыто.
2022-03-24 04:39:32,157 DEBUG    server.py          Создан объект parser
2022-03-24 04:39:32,285 DEBUG    decors_def.py      Была вызвана функция: <create_arg_parser()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-24 04:39:32,285 INFO     server.py          Запущен server !Порт для подключений: 7777,Адрес с которого принимаются подключения: .Если адрес не указан, принимаются соединения с любых адресов.
2022-03-24 04:39:39,985 INFO     server.py          Установлено соединение с client ('127.0.0.1', 64029)
2022-03-24 04:39:39,987 DEBUG    decors_def.py      Была вызвана функция: <get_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-24 04:39:39,987 DEBUG    server.py          Получено сообщение от client {'action': 'presence', 'time': 1648085979.9849997, 'user': {'account_name': 'Guest'}}
2022-03-24 04:39:39,988 DEBUG    server.py          Разбор сообщения от клиента: {'action': 'presence', 'time': 1648085979.9849997, 'user': {'account_name': 'Guest'}}
2022-03-24 04:39:39,988 DEBUG    decors_def.py      Была вызвана функция: <process_client_message()>. Вызов из модуля: <__main__>. Вызов из функции: <main()>.
2022-03-24 04:39:39,990 DEBUG    server.py          Сформирован ответ client {'response': 200}
2022-03-24 04:39:39,991 DEBUG    decors_def.py      Была вызвана функция: <send_message()>. Вызов из модуля: <common.utils>. Вызов из функции: <main()>.
2022-03-24 04:39:39,991 INFO     server.py          Отправлен ответ client {'response': 200}
2022-03-24 04:39:39,991 INFO     server.py          Соединение с клиентом ('127.0.0.1', 64029) закрыто.
